Settlement ID,Name,Easting,Northing,Elevation,Population,Net_Name,Net_ID,Net_Influence,Tax_neutral,Tax_Network,Water,Food,Grain,Wine,Timber,Gold,Silver,Copper,Tin,Obsidian,Lead,Slaves,Goats,Sheep,Luxury Items,Is_A_City,Model_Reference,Description
81,Naxos,37.1077,25.3752,7,70,Samothrace,1,0,2.888,0.636,12,20,34,99,7,5,0,10,35,8,56,4,56,95,53,1,basic,"The port of Naxos is on the largest of the Cyclades islands, and was founded by Chalcidians. Sources: Stillwell, et al. Strabo 6.2"
82,Nysa,37.894900,28.155500,155,97,Samothrace,1_5,73,0.373,4.4,63,55,15,71,1,1,89,40,42,6,24,12,84,4,75,1,basic,"The city name Nysa recalls the childhood of Dionysos, raised by the nymphs of Mount Nysa. The town is minor, but it is located 5 km from a traditional entrance to the underworld! Thus it has an important sanctuary of Pluto and Kore with sulphur springs and a cave used for incubation, an an annual festival with a hieros gamos (Strabo 14.1.44)."
83,Odessos,43.2012,27.9226,8,90,Independent,0,0,1.486,0.999,59,55,71,9,6,4,6,14,39,9,59,13,45,97,11,1,basic,Odessos is a Milesian foundation and a thriving trading city!
84,Parium,40.415000,27.069200,7,90,Samothrace,1_10,12,6.54,2.196,1,38,35,72,2,0,9,25,31,14,80,12,81,76,57,1,basic,"You have arrived at a prosperous port at the gateway to the Black Sea! Located between Lampsacus and Priapus, Parion's foundation is attributed by some to settlers from Paros, Parion the son of Iason and Demetria from Erythraili, or even Paris, the youngest son of Priam."
85,Paros,37.0857,25.1545,14,50,Samothrace,1,0,2.627,2.191,61,29,38,95,2,35,45,44,33,2,48,3,96,45,29,1,basic,"Look for fine goods and marble!  Paros is a wealthy island, rich in wine and figs, and the site of significant ceramic and shipbuilding industries. The island's marble is a significant economic resource, serving as an item of export. The island was one of the most important sites of the Cycladic culture in the Early Bronze Age, and settled again from the Greek mainland in the Late Mycenaean period; from 1000 BC, Ionian Greeks begin to form a characteristic component of the island's population. Its Northern Aegean connections include colonization of Thasos in 680 (Thucy 4.104.4; Strabo 10.5.7; Pausanias 10.28.3). After the Persian wars, Paros was one of the most important member of the Delian league. From the 4th century onward, Parian politics are increasingly oriented to the western Mediterranean, with a colony on Pharos off the Dalmatian coast (Diodorus Siculus 15.13.4; Strabo 7.5.5). "
86,Patara (Arsinoe),36.266800,29.317800,13,50,Samothrace,1,73,0.569,0.119,20,50,8,29,0,0,3,36,26,12,8,9,70,33,57,1,basic,"This is a Lycian city, whose legends include foundation by a son of Apollo (Hecat. FGH 1  256), or the pirate Patarus, a brother of Xanthus (Eust. GGM 2, 239, 30-37; Alexander of Miletus, BNJ 273 F 131).  It is the location of one of the most important cults of Apollo in the Greek world!  Take part while you are here! The Antigonids and Ptolemy I competed recently for control of the city, and when Ptolemy triumphed, his son Philadelphus changed the name to Arsinoe (Diodorus Siculus 20.27.1-3; Strabo 14.3.6; Stephanus Byzantius s.v. Arsinoe)."
87,Pergamon,39.132000,27.183700,304,18,Samothrace,1_5_7,50,0.928,0.254,94,34,69,98,7,2,3,14,41,4,38,0,67,99,18,1,basic,"This important city of art, literature, and science is currently under the Attalid dynasty (282-133 BCE) (""Pergamon."" Stillwell et al., 1976)! "
88,Perinthus/Heraclea,40.9687,27.9553,13,90,Independent,0,0,4.284,0.958,79,62,61,80,3,8,8,15,38,2,80,15,58,80,43,1,basic,"Established by Samos in 602 BC (ps-Scymn. 713-15, Strabo 7a.1.156, Diodorus Siculus 16.76, Pliny NH 4.47), the site is located at the junction of several great sea routes as well as the  via Egnatia, however, the area is not agriculturally rich. The place name is pre-Greek.  A conflict with Megara in 570/560 (Plut. Quaest. Graec. 57) was followed by conquest by the Paeonians (Herodotus 5.1), and membership in the Delian League in 452/1 (IG 1(3) 261). Xenophon (Anabasis 7.4.2) notes the importance of this city in trade between Greeks and Thracians! "
90,Pherai (Thessaly),39.382900,22.737200,149,30,Samothrace,1,36,2.564,1.069,4,81,51,74,75,3,9,31,10,1,70,19,89,12,31,1,basic,"This is known as the home of Admetos, whose son Eumelos figured in the Trojan war (Eur., Alk. etc.; Hom., Il. 2.711, Od. 4.798; Stillwell, et al.). Philip II of Macedon took over Magnesia and Pagasai and in 344 B.C. placed a Macedonian garrison in Pherai, leaving the city fairly prosperous!  There are fears of siege by Antiochos III in the near future (Livy 36.8f; Stillwell, et al.)."
91,Philadelphia (Fayum),29.4208,31.0107,0,18,Independent,0,0,5.49,2.682,48,99,99,39,2,5,0,9,30,9,88,1,6,9,79,1,basic,"This small city in the Fayum was founded recently by the Ptolemies, and is open to trade. It was not a full polis, however, rather a village."
92,Philippi,41.012400,24.283300,66,40,Samothrace,1,49,2.032,2.389,60,23,60,65,0,85,3,48,40,5,53,21,69,53,47,1,basic,"Philippi was taken from local control by Philip II of Macedon in 365 when he conquered the region between the Strymon and Nestus rivers. The area was inhabited by Thracians; Philip's settlement served as the location for a border garrison protecting the nearby gold mines of Pangaion from the Thracians. The mines initially yielded 1000 talents per anum (Diod. Sic. 16.8.6); disputes between Philippi and the Thracians over the rights of exploitation continued to demand arbitration (SEG 34.664). In 242, Philippi recognized the asylia of Kos, and received Delphic theoroi (A. Plassart, """"Inscriptions de Delphes, BCH 45, 1921, 18 l. 80). Conquered by L. Valerius Flaccus in the first Mithridatic wars. Cole (61) notes that a Samothracian inscription in Philippi is the only dedication outside the island of Samothrace which is set up by people explicitly stating that they are initiates."
93,Phokaia,38.6702,26.7588,15,50,Samothrace,1_5,0,0.025,0.008,90,74,45,59,6,0,1,41,41,9,44,15,69,66,37,1,basic,"Phokaia was founded by Phocis, and benefits from a double harbor, location at a river mouth, and a great naval force! Her sailors trade especially in western ports, including Velia. Cybele is celebrated in the city, as well as in temples built into the rocks on the offshore islands."
94,Priene,37.659100,27.296800,90,60,Samothrace,1,64,2.584,8.774,20,30,11,65,7,35,8,26,17,7,58,18,90,31,47,1,basic,"Priene was refounded in the 4th century, moving westerly from its previous location.  Perched on a high terrace, the citadel above is impossibly high! Alexander the Great himself dedicated the temple of Athena Polias in 334 BCE (""Priene."" Livius.org). "
95,Priapos,49.411,27.3302,12,40,Independent,0,0,0.017,0.023,88,38,43,58,2,3,5,20,4,12,84,22,70,8,16,1,basic,"This city bears the name of the god whose birthplace was Lampsakos, and who protected both farmers and sailors.  Strabo says that the wine in this region is abundant (Strabo 13.1)!"
96,Rhodes,36.444,28.2278,9,99,Samothrace,1_3_5_6_8,0,1.378,0.336,83,8,5,55,4,5,89,22,35,13,50,18,5,46,75,1,basic,"Rhodes is a major Hellenistic maritime power and one of the great cities of the Hellenistic world (""Rhodes."" Stillwell et al., 1976)!"
97,Rome,41.9029,12.4526,39,90,Samothrace,1_6_8,0,0.729,0.689,96,94,9,93,99,7,8,35,32,0,5,99,12,65,38,1,basic,"You have reached Rome, the home of the Roman Repubic.  Rome is a large trade city, involved in commerce, the Punic Wars, and the Macedonian Wars. Romans were among the most enthusiastic supporters of the Samothracian rites: 64 of the 117 inscriptions which list initiates include or are dedicated by Roman initiates. Roman funds erected monuments and restored damaged buildings, and Roman authors report many ways in which the rites became part of Roman identity. The archaic Roman priesthood of the Salii was linked to the Samothracian cult (Kritolaos BNJ 823 F 1; Servius in Aeneidem 2.235)."
98,Samos,37.6894,26.9418,8,70,Samothrace,1,0,1.502,0.742,85,33,6,89,75,85,10,32,41,40,21,15,65,28,86,1,basic,"Some suggest this as the home of the original settlers of Samothrace (scholiast to Lycophon (Alexandra 78); Scholia Townleiana to Iliad N 12). Pausanias will later report that the sanctuary of Hera in Samos was established by those who sailed in the Argo, and that these brought the image from Argos! But the Samians themselves will hold that the goddess was born in the island by the side of the river Imbrasus under the withy that continues to grow in the Heraeum (Paus. 7.4). "
100,Serrhai,41.095700,23.543800,121,61,Samothrace,1,20,2.853,2.378,11,4,89,82,75,85,89,4,33,1,71,10,21,68,68,1,basic,"Likely a foundation of the Thracian tribe Odomantes, this city was annexed to the Macedonian state by Philip II.  Look for the local iron for trade!  Sources: see Samsaris, Dimitrios C.,""Les mines et la metallurgie de fer et de cuivre dans la province romaine de Macédoine"", Klio 69 (Dec 1987), 152-162; ________, ________ _. ""______ ______ ___ _____________ _______ _____ ___ ________ _____ ______ ______."" __________ 19.1 (1979): 240-251; Samsaris, D., ""Les Péoniens dans la vallée du Bas-Strymon"", Klio 64.1-2, 339-352. "
101,Sestos,40.213000,26.389500,7,60,Independent,0,12,0.269,0.124,82,40,79,57,6,3,9,24,31,4,9,0,94,98,93,1,basic,"You have arrived at Sestos, located on the Hellespont, this is a smaller city of the Thracian Chersonese.  The wind and current make this harbor a good stopping place. Take advantage of the position and trade! Sources: Stillwell et al. "
102,Seuthopolis,42.616200,25.293500,386,75,Independent,0,73,5.139,1.505,42,46,38,93,4,4,6,15,39,14,11,24,21,57,38,1,basic,"Welcome to Seuthopolis in the region of Thrace to the north.  Amphora stamps here at Seuthopolis show a thriving wine trade with Thasos, Rhodes, Sinope: SEG 49 863.  Pick some up while you are here!"
103,Stratonikeia,37.314300,28.063200,507,62,Samothrace,1,12,2.873,4.12,76,15,23,96,8,3,9,17,43,7,72,8,97,49,91,1,basic,"Stratonikeia is said to have been founded by the hero Chrysaor, the son of the Gorgon and the brother  of Pegasos: he leaped from his mother's severed neck when the hero Perseus killed her.  The people of the city celebrated Zeus Chrysaor  (Strabo 14.660) as their patron "
104,Styberra,41.247786,21.395639,0,40,Samothrace,1,12,0.733,0.561,12,9,94,77,0,5,5,28,3,7,27,11,47,58,77,1,basic,"Styberra  was founded by Greeks in the late Archaic period; here the Roman army obtained wheat for its supplies when they fought against Philip V,"
105,Syme,36.615100,27.837200,20,30,Independent,0,73,0.965,0.77,12,57,65,89,7,0,1,33,38,5,89,1,20,33,6,1,basic,"We enter the land where the Charites or Graces  were born - the goddesses of creativity, fertility, beauty and charm.! This island near Rhodes was also named for a divine woman: a nymph who was carried off either by the sea-god Glaukos, when he was returning from Asia, or Poseidon himself. Pliny suggests, on the other hand, that it was named for ;skimmia', or 'monkey.'  A mountainous island, it is a fine place to dive for sponges.   "
106,Tarentum,40.472000,17.244400,27,70,Delphi,6_12_14,36,0.656,0.266,15,12,1,99,0,9,10,42,39,13,49,19,80,88,10,1,basic,"Settled by Spartan colonists, led in legend by Taras, the son of Poseidon, who was saved from a shipwreck by a dolphin: the city’s coins show him riding the dolphin, with his father’s trident in his hand. Other founding myths claim that the site was founded by Partheniai, the illegitimate children of the helots whom Sparta ruled, and the women of Sparta"
107,Tegea,37.455500,22.420500,671,70,Epidauros,7_12,49,0.323,0.897,55,29,33,33,6,3,3,43,5,3,64,8,68,82,51,1,basic,"This is the site of an important sanctuary of Athena Alea; the city is very ancient one, first settled in the Neolithic period. The local goddess Alea is celebrated with her own athletic games. According to legend, the son of King Aleus was told he would be thrown from power by his grandson, and so forced his daughter Auge to become a virgin priestess of Athena Alea. Herakles raped her; she gave birth to Telephus, who was exposed on Mt. Parthenion.  Herakles ensured that a deer suckled the boy, who survived to manhood and eventually became the king of Mysia and Pergamon"
108,Teos,38.177200,26.785200,13,60,Samothrace,1_5,64,4.742,1.102,6,25,40,84,8,6,0,23,43,7,52,14,84,53,59,1,basic,"This is a flourishing portI It has two great harbors, and is famous for its wine. The 16th century Turkish cartographer Piri Reis wrote that its anchorage was as soft and calm as paper thin pastry.  It was one of the twelve Ionian cities, as well as a pirate stronghold; a 5th century BC inscription details the curses laid on those who commit piracy or offer shelter to those who commit piracy."
109,Thasos,40.7821,24.7178,56,70,Samothrace,1,0,1.504,0.391,94,31,16,40,99,9,2,16,12,12,87,3,42,31,83,1,basic,"Thasos was colonized early by the Phoenicians, likely drawn by the island’s rich metallurgical resources. It is named for a son or grandson of Agenor, the King of Phoenicia whose daughter, Europa, was kidnapped by Zeus in the form of a bull; Agenor, inconsolable at the loss of his daughter, sent his sons and Thassos to find her. Thassos gave up his search when he came to this island, as heas so charmed by its setting and vegetation. Herakles, who has roots in the Phoenician god Melkart, was especially honored here."
110,Thera,36.366700,25.477300,285,30,Thera,1_3_6_7_15,20,2.045,1.255,53,10,58,77,9,6,8,29,32,8,68,11,14,35,75,1,basic,"We sail into a port shaped by the largest volcanic explosion of the ancient world! The island was once called ‘Strongyle’, ‘the round one’ – but is now shaped like a crescent. The island lies at the intersection of the African and Eurasian tectonic plates: a mid second millennium explosion blew its center away.  The site of Akrotiri, buried by the volcano’s ash, is the best preserved bronze age town of the Aegean world.  "
111,Thessalonike,40.6377,22.9465,29,53,Independent,0,0,5.909,2.667,78,67,79,90,0,85,4,25,37,10,85,18,22,84,71,1,basic,"Welcome to Thessalonike! A fine natural harbor and excellent connections with the hinterland have made this the most important port of the Macedonians. It was founded by King Kassander of Macedon, who named it for his wife, a half-sister of Alexander the Great. Legends claim that Alexander washed his sister's hair with waters he retrieved from the Fountain of Immortality: when he died, she was so overome with grief she leaped into hte sea. But she could not drown, since she was immortal.  Whenever sailors met her, she would ask, ""Is Alexander the King alive?""If they answered, 'He lives and reigns and conquers the world!"", she would let them sail away in safety; if they answered no, she would become a raging Gorgon intend on destroying that ship and its crew."
112,Torone,39.9843,23.9022,0,50,Independent,0,0,1.311,0.308,86,53,84,46,3,4,0,38,43,3,78,14,96,75,44,1,basic,"Welcome to Torone, in the Chalkidiki in Macedonia!  Torone, a flourishing city on a hill, overlooks a harbor callled 'Deaf' (Kophos"" because supposedly the sound of the sea's waves couldn't be heard; an old proverb is 'Deafer than the port of Torone'   Sources: Strab. 7.fragments.32"
113,Torone,39.514100,20.177700,2,50,Independent,0,12,1.777,3.144,95,22,70,33,2,4,10,45,45,13,28,20,60,52,90,1,basic,"A bustling port, welcome to commerce. Sources: Stillwell, et al. Ptolemy 3.14"
114,Tralles,37.844300,27.845200,71,28,Independent,0,73,6.336,2.78,62,35,37,26,8,85,4,29,43,11,69,17,76,41,85,1,basic,"This town, located at the boundaries of Ionian, Lydian, and Carian territories, was founded by Argive and barbarian Tralleis from Thrace (Strabo 649); the city lies on a well-defended plateu, and has a steep acropolis. Strabo reports that its citizens were very rich."
115,Pergamon,39.132000,27.183700,304,74,Delphi,6,34,2.541,0.863,34,37,8,69,3,2,10,4,15,5,41,20,13,98,36,1,basic,"The city of the Attalids, and center of an empire which covers nearly all of South and West Asia Minor, the Thracian Chersones, and the island of Aegina – we have arrived at a magnificent city!  Famous for its architecture, the city looms above the visitor on a steep mountain, full of terraces. Here is a famous healing sancuary to Asklepios, which is one of the wonders of the ancient world under the emperor Hadrian."
116,Troy/Ilium,39.9573,26.2389,36,60,Samothrace,1,0,1.714,1.264,27,74,92,76,8,4,45,32,33,6,56,18,65,65,3,1,basic,"Ilium sits at the entrance to the Dardanelles, also called the Hellespont, from here you can go northeast towards the Black Sea! People in the Hellenistic period believed this might be the site of the Troy of Homer's Iliad (Hom. Illiad; ""Troy."" Livius.org). "
123,Aea,42.123751,42.216153,0,44,Independent,0,0,3.489,3.832,2,3,85,71,0,8,9,44,6,9,61,12,15,5,66,1,basic,"You have reached Aea, the home of the Colchians, up the Phasis river! This city in Colchis is the home of the King of the Colchians and his daughter, Medea.  "
124,Aeaea,41.2333,13.05,0,73,Independent,0,0,0.314,0.363,89,98,55,39,55,9,4,6,19,99,22,55,97,94,51,1,basic,"A bustling port, welcome to commerce."
126,Aegina,37.75,23.433333,0,30,Eresos,8,0,2.7,0.7,75,92,1,67,8,3,6,5,28,5,14,23,27,33,44,1,basic,"Home of the goddess Aphaia, ‘the disappearing one’, also named ‘Dictynna’, goddess of the hunt and of fishing; she was said to have leaped from a precipice to escape the lust of King Minos of Crete, and landed in the nets (diktys) of local fisherman.  She is closely associated with Artemis, another virgin goddess.  Aegina is the first Greek island to mint its own coinage, stamped with their distinctive sea turtle image."
129,Alope,38.75,22.75,0,20,Independent,0,0,2.57,0.562,10,4,91,27,1,1,6,13,0,0,57,11,98,49,25,1,basic,"Alope lies in the land of the Eastern Locris; Homer knew of the Eastern Locrians, who came with Ajax to the Trojan War.  East Locrians were active in the establishment of colonies in the West in the Archaic period; in the Hellenistic period, they were ruled by the Aetolians, sometimes by the Macedonians.     Culturally, they were characterized as backwards, a nation of herders and warriors, hostile to strangers and prone to piracy and banditry.  They were also known to be very good archers – we should be careful pulling into this port!    "
136,Anaphe,36.350459,25.76846,0,30,Anaphe,3_4,0,1.429,0.339,47,60,24,25,8,0,11,8,14,10,59,20,79,40,93,1,basic,"This island is named for its sudden appearance, from ‘anaptein’, ‘to flare up’ – when viewed from Thera, at sunset, it seems to be lit up when the sun is low in the sky.  The name recalls how Apollo revealed it to the Argonauts when they were in distress on the waves. The island has ancient habitation, from the 2nd millennium onward.  "
144,Arene,37.6,21.6,0,59,Independent,0,0,1.426,0.42,44,92,29,32,1,8,7,34,10,9,95,10,92,92,23,1,basic,"A bustling port, welcome to commerce."
146,Argos,36.75,22.75,0,90,Aitolian League,2_7,0,7.413,8.414,4,57,21,84,1,2,5,10,7,6,8,4,80,82,92,1,basic,"The setting of many Greek legends, Argos was said to have been settled by  the pre-Greek tribe the Pelasigans; here Hera persecuted Io, the daughter of the king of Argos, Inachos, by turning her into a cow and forcing her to wander the earth under the force of Hera’s gadfly.  Thus was the punishment for attracting the eye of Zeus! The city itself was founded by Argos, the son of Zeus and Niobe – he is said to have introduced the first grain from Libya, and was worshipped with a cult at his tomb."
149,Assyria,41.5,34.5,0,57,Independent,0,0,1.79,1.574,5,48,10,60,4,8,1,14,11,9,39,19,23,96,33,1,basic,"The Assyrian emperor Shalmaneser III conquered Tabal, a kingdom of Colchis, in the 830’s BC -  by the mid-sixth century BC, the Colchian kingdom was under the rule of the Achaemenid Persians; the tribes of soutehrn Colchis became part of the 19th satrapy of Persia. Northern tribes had to send 100 girls and 100 boys to the Persian court every five years.   "
152,Athos,40.157222,24.326389,0,38,Independent,0,0,0.065,0.037,6,89,6,56,3,1,1,48,34,9,89,18,38,50,56,1,basic,"Athos is the highest elevation on this forested peninsula; its inhabitants were rumored to be exceptionally long lived.  According to legend, Alexander the Great’s architect proposed turning the mountain of Athos into a gigantic statue of the king himself."
156,Bebrycia,40.25,26.75,0,97,Independent,0,0,1.919,0.49,47,25,81,67,1,8,5,4,20,9,1,10,99,46,37,1,basic,"The Bebycians are known for being rough and wild; here the Argonauts encountered King Amycus, who forced the voyagers to box with him.  He was a nasty opponent; the dismembered bodies and rotting bones of those he conquered were on display at his cave. But he was the son of the god of the sea, and laid his boxing gloves on his father’s altar.  The people over whom he rules have no fortified cities and no laws; here the Argonauts are beyond the edges of civilization."
162,Bosphorus,40.222508,26.493988,0,73,Independent,0,0,0.218,0.094,68,14,51,82,6,9,3,46,41,7,30,11,93,71,85,0,basic,"This very difficult strait is the only link between the Black Sea and the Mediterranean; a fast, cold, less saline surface current runs southwest, while a slower, very salty and warmer current flows beneath it towards the northeast. The complexity is increased by the irregular shores on both sides, and by a year-round north wind."
163,Bryges,45.265222,14.370117,0,45,Independent,0,0,0.658,0.312,34,78,26,75,5,4,5,28,1,4,2,11,28,67,66,1,basic,"This tribe of Thrace lived in the western region of Macedonia – they are fierce warriors! In 492 they conquered the Persian army, and would later serve in Xerxes’ army. Herodotus says they were Phrygians."
168,Canastra,39.937356,23.930431,0,47,Independent,0,0,2.015,2.008,88,43,1,30,8,8,3,33,39,6,57,19,49,45,64,1,basic,"Cape Canastraeum makes a fine landmark! We are at the very southeastern end of the Pallene peninsula, the most westerly of three headlands of Chalkidike.  According to Herodotus, this is the place where giants born from the earth warred against the gods. Many cities flourished here, rich in sheep, cattle, honey and wax.     "
169,Cape of Acherusias,41.298238,31.405106,0,21,Independent,0,0,1.095,0.475,29,55,69,78,8,4,8,40,9,0,3,18,61,13,28,1,basic,"Beware, we come here to one of the entrances to the underworld – the ancient sea knows man of these!  We may cross it with our ships now – but all of us will cross it eventually, when our souls pass to the underworld.  "
171,Carambis,42.013625,33.369673,0,66,Independent,0,0,1.997,0.708,56,71,71,95,5,2,2,31,8,14,54,17,50,23,47,1,basic,"The sea crossing form Cape Carambis to Kriou Metopon (“Ram’s Forehead”) on the southern Crimean shore grew increasingly familiar to Greek settlers in the fifth and 4th centuries BC  - that knowledge, very likely shared by the sailors of Sinope, helped the Greeks settle this region. The area is characterized by coastal foothills ; currents flow from Cape Carambis across the sea, north toward Chersonesus, then across the western shores of the Black Sea, toward Callatis and back to the entrance of the Black Sea."
172,Carpathus,35.583333,27.133333,0,88,Independent,0,0,1.332,0.465,1,29,45,69,7,6,6,7,38,5,6,5,11,88,34,1,basic,"This island, the second largest of the Dodecanese, was believed to have belonged to the kingdom of Minos, though Diodorus Siculus claims it was settled by the people of Argos. Despite its size, its sheer cliffs do not offer good harbors, a factor which impeded its economic growth.  Myths about the battles of Poseidon, the god of earthquakes, may reflect cultural memory of the great seismic activities shich characterize the region: two headlands on Karpathos, Ephialteion and Thoanteion, bore the names of the giants Ephialtes and Thoas, who warred against the gods of Olympus. The island was also said to have suffered from a plague of rabbits: the people of the island were so overrun that they asked the priestess of Apollo for guidance:  she told them to keep dogs and start hunting. ."
173,Caucasus,42.517461,44.937746,0,43,Independent,0,0,0.756,0.252,24,71,37,57,3,6,2,3,17,5,36,12,38,89,68,1,basic,"These mountains separate the Black and Caspian seas from the northern steppe peoples of southern Caucasia; according to legend, Zeus bound Prometheus here to the rocks, so that his eagle could consume the Titan’s liver every day.  Diodorus Siculus notes that the local people honored Prometheus for his wisdom and Herakles who freed him – but not Zeus, because he was the one who ordered Prometheus’ suffering (1.19.3).  Philostratos writes that the local people would seek out and destroy the nests of eagles in order to punish them for hurting Prometheus; a local herb was named for him, as it was believed to have been sprinkled with his blood (Life of Apollonius of Tyana 2.3; Seneca Medea 708). In the Byzantine time this became a busy byway for the silk trade."
185,City of Hyllus,44.193096,15.379156,0,8,Independent,0,0,2.53,0.786,31,46,83,32,3,8,11,34,18,12,83,1,33,81,94,1,basic,Here the Argonauts bury one of the tripods which Apollo gave to Jason: the tripod provided security against invaders in perpetuity. 
190,Crete,35.297847,25.163106,0,16,Epidauros,7_12_14,0,0.803,0.342,99,99,44,6,75,9,3,22,30,99,57,16,75,40,46,1,basic,"Land of 100 cities according to Homer, the island of Crete has yielded the first palaces of European history at the sites of Knosss, Phaistos, Malia, and Zakros. The island claimed the favor of Poseidon, god of the sea, who lent king Minos the bull from the sea as a signal of kingship, and then punished him severely when the king refused to return it. Queen Pasiphae paid the price for her husband’s error, falling in desperate love with the bull, consummating the relationship and giving birth to the Minotaur."
192,Cromna,41.838242,32.651063,0,10,Independent,0,0,3.043,2.861,25,47,23,67,2,4,5,29,33,4,70,7,76,38,92,1,basic,"This small Black Sea port town was founded by Miletus: if the city’s bragging is accurate, it was the birthplace of Homer! It was also known as ‘Sesamus’, and Amastris, after the niece of Darius III, the last king of Persia.  It has two beautiful islands, and its territory was known for the production of boxwood, a dense wood useful for carving combs and musical instruments even in antiquity."
193,Ctimene,39.064237,21.978511,0,30,Independent,0,0,1.797,0.466,26,14,19,52,7,4,5,29,38,4,45,19,48,54,38,1,basic,"This is a city of the Dolopians, who inhabit the mountains of the Pindos range – their region is entirely landlocked. Homer knows them as part of the kingdom of Peleus, father of Achilles, who gave their rule to Phoenix.  The Dolopians were also associated with the island of Skyros, and supposedly practiced piracy in the fifth century BC."
197,Cyzicus,40.381323,27.892255,0,90,Independent,0,0,0.582,0.606,14,87,7,37,8,1,4,26,20,5,46,7,3,25,50,1,basic,"Famous for its fine coins, double harbor, and large territory, Cyzicus is an economic powerhouse! It was one of the greatest of the colonies of Miletus in the Black Sea area.  Here Cybele, the great mother goddess of Asia Minor, plays an important role in local cult. The city may have been an island in antiquity, and only eventually joined to the mainland. It is strongly associated with bears, sometimes called ‘Bear Island.’ Some sources say Zeus’ nurses were metamorphized into bears there; some say Bear Mountain was so high it nearly touched the stars. "
200,Delphi,38.482289,22.501169,0,40,Delphi,2_6_7,100,2.01,3.812,35,61,76,20,75,7,7,8,44,7,1,8,77,58,23,1,basic,"Home to one of the most important oracles of the ancient Greek world, Delphi was an international center  throughout antiquity. It fame as the naval of the world took material form in the great marble omphalos, or ‘belly button’, kept on site.  It was believed to be the center point of all creation:  when Zeus released two eagles from the edges of he world, this is the place they met.  "
207,Doris,38.711233,22.342072,0,80,Independent,0,0,0.912,0.214,13,5,19,82,4,1,2,35,35,5,11,11,98,14,93,1,basic,"We are at the headwaters of the Cephissus river, surrounded by tall mountain ranges on three sides. The soil is rich, and the area strategically situated for control of north-south land routes.  According to legend, the Doreis drove out the Dryopes who lived here before them, and founded their four great cities  - the Doric tetrapolis."
208,Drepane,39.666667,19.75,0,74,Independent,0,0,3.46,1.968,93,85,23,8,99,0,6,29,22,99,74,9,9,78,25,1,basic,"A harbor town on the northwestern edge of Sicily, with settlement as early as the Paleolithic Drepane is named for a ‘sickle’, based on the shape of its harbor."
218,Eridanus River,44.880785,11.615753,0,68,Independent,0,0,1.366,0.321,64,74,42,92,2,2,6,18,25,0,99,0,99,95,89,0,basic,This is the Eridanus River!
221,Euboea,38.53,23.87,0,87,Independent,0,0,5.908,3.269,79,39,18,65,75,1,6,27,44,12,13,9,98,4,7,1,basic,"Here is a bustling port on the large island of Euboea, the third largest island in Central Greece.  It is is separated from the Greek mainland by the Euripus Strait.  Sources: Pleiades  "
226,Giresun,40.91913,38.39793,0,38,Independent,0,0,0.664,0.251,1,49,2,65,7,2,4,47,9,2,84,24,39,79,62,1,basic,"You have arrived at the harbor of Kerasous, or Giresun, in the region of Pontus on the Euxine Sea.  Buy food while you are here, as this area is rich in agriculture! Sources: Stillwell, et al."
227,Gulf of Olbia,40.76445,29.923486,0,41,Independent,0,0,1.31,0.3,84,80,91,22,6,2,8,23,42,9,83,0,59,81,90,0,basic,This is the Gulf of Olbia!
235,Hellespont,40.2,26.4,0,53,Independent,0,0,3.021,2.917,8,19,81,91,2,2,10,15,19,4,20,24,30,26,47,0,basic,This is the Hellespont!
237,Hippouris,36.312027,25.800762,0,2,Independent,0,0,0.702,1.928,19,14,2,76,2,0,8,38,35,6,8,21,56,42,46,1,basic,"You have landed at the tiny island of Hippouris, in the Dodecanes islands just southeast of the Cyclades!  This tiny rocky island provides a restful break from the windy sea.  Sources: Apoll. 4.1694"
238,Holy Island of Electris,44.777546,12.239227,0,36,Independent,0,0,0.392,0.124,17,77,94,29,8,8,5,99,99,11,9,5,44,12,61,1,basic,"You have arrived and find rest on the sacred isle of Electra, the highest of them all, near the river Eridanus.  From here you will continue into the ancient Italian peninsula.  The Etruscan and Venetic people live here.  Sources: Apoll. 4.503"
246,Iolcus,39.366305,22.96886,0,20,Independent,0,0,1.71,0.361,5,90,46,65,4,7,2,4,37,9,80,7,91,12,17,1,basic,"Welcome to Iolcus in the region of Magnesia, Thessaly in Central Greece!  This is the home of Jason.  Locals have been saying he went to Pagasae nearby to set off on the Argo for a great quest!  Apollodorus says that ""Cretheus founded Iolcus and married Tyro, daughter of Salmoneus, by whom he had sons, Aeson, Amythaon, and Pheres."" Sources: Strab. 9.5; Hdt. 5.94; Apollod. 1.9.11"
252,Ister River,46.35,30.233333,0,82,Independent,0,0,0.196,0.049,55,9,96,13,3,7,11,15,39,11,49,16,12,34,79,0,basic,This is the Ister River!
255,Kerinthos,38.825075,23.48282,0,75,Independent,0,0,1.452,0.718,7,19,9,61,8,3,1,2,36,0,26,6,56,29,23,1,basic,"Welcome to the small city of Kerinthos, in the region of Euboea, Central Greece!  This city is closely tied to Histaia/Oreos, which you may have passed in the bay of Pagasae.  Sources: Stillwell, et al.; Strabo 10.1.3"
256,Kios River,40.423742,29.290237,0,7,Independent,0,0,8.843,4.28,38,52,91,27,5,5,11,15,39,10,47,5,26,74,36,0,basic,This is the Kios River!
